,population,city,province,# restaurants,restaurants per capita,population per restaurant,restaurants per 10k people,"city, state"
261,107263.0,Santa Maria,CA,11,0.00010255167205839852,9751.181818181818,1.0255167205839852,"Santa Maria, CA"
262,106985.0,Tyler,TX,16,0.00014955367574893676,6686.5625,1.4955367574893679,"Tyler, TX"
263,106280.0,Daly City,CA,9,8.468197214904028e-05,11808.888888888889,0.8468197214904027,"Daly City, CA"
264,105673.0,Boulder,CO,5,4.7315776026042603e-05,21134.6,0.47315776026042605,"Boulder, CO"
265,105623.0,Allen,TX,5,4.7338174450640484e-05,21124.6,0.47338174450640486,"Allen, TX"
266,105101.0,West Covina,CA,9,8.563191596654646e-05,11677.888888888889,0.8563191596654647,"West Covina, CA"
267,105006.0,Sparks,NV,10,9.523265337218826e-05,10500.6,0.9523265337218825,"Sparks, NV"
268,104683.0,Wichita Falls,TX,15,0.00014328974140978,6978.866666666667,1.4328974140978001,"Wichita Falls, TX"
269,104578.0,Green Bay,WI,13,0.0001243091281148999,8044.461538461538,1.2430912811489987,"Green Bay, WI"
270,104430.0,San Mateo,CA,9,8.618213157138753e-05,11603.333333333334,0.8618213157138753,"San Mateo, CA"
271,103949.0,Norwalk,CA,5,4.810051082742499e-05,20789.8,0.48100510827424986,"Norwalk, CA"
272,103526.0,Rialto,CA,7,6.761586461372023e-05,14789.42857142857,0.6761586461372022,"Rialto, CA"
273,103432.0,Las Cruces,NM,16,0.00015469100471807563,6464.5,1.5469100471807564,"Las Cruces, NM"
274,103301.0,Chico,CA,18,0.00017424807117065664,5738.944444444444,1.7424807117065664,"Chico, CA"
275,102708.0,El Cajon,CA,14,0.00013630875881138764,7336.285714285715,1.3630875881138762,"El Cajon, CA"
276,102511.0,Burbank,CA,12,0.00011706060812985923,8542.583333333334,1.1706060812985923,"Burbank, CA"
277,102026.0,South Bend,IN,17,0.00016662419383294455,6001.529411764706,1.6662419383294453,"South Bend, IN"
278,101751.0,Renton,WA,15,0.00014741869858772886,6783.4,1.4741869858772887,"Renton, WA"
279,101638.0,Vista,CA,8,7.871071843208248e-05,12704.75,0.7871071843208248,"Vista, CA"
280,101590.0,Davenport,IA,14,0.00013780883945270205,7256.428571428572,1.3780883945270204,"Davenport, IA"
281,101170.0,Edinburg,TX,8,7.907482455273303e-05,12646.25,0.7907482455273301,"Edinburg, TX"
282,101129.0,Tuscaloosa,AL,30,0.00029665081232880776,3370.9666666666667,2.9665081232880777,"Tuscaloosa, AL"
283,101068.0,Carmel,IN,21,0.0002077808999881268,4812.761904761905,2.077808999881268,"Carmel, IN"
284,101004.0,San Angelo,TX,16,0.00015840956793790345,6312.75,1.5840956793790344,"San Angelo, TX"
285,100670.0,Vacaville,CA,12,0.00011920135094864409,8389.166666666666,1.1920135094864408,"Vacaville, CA"
286,100421.0,Bend,OR,13,0.00012945499447326755,7724.692307692308,1.2945499447326756,"Bend, OR"
287,99944.0,Kenosha,WI,8,8.004482510205715e-05,12493.0,0.8004482510205715,"Kenosha, WI"
288,99805.0,Boca Raton,FL,24,0.00024046891438304693,4158.541666666667,2.4046891438304696,"Boca Raton, FL"
289,99277.0,Nampa,ID,17,0.00017123805110952185,5839.823529411765,1.7123805110952184,"Nampa, ID"
290,99178.0,Rio Rancho,NM,12,0.00012099457540986913,8264.833333333334,1.2099457540986913,"Rio Rancho, NM"
291,99143.0,Roanoke,VA,48,0.0004841491582865154,2065.4791666666665,4.841491582865154,"Roanoke, VA"
292,99037.0,Beaverton,OR,24,0.00024233367327362501,4126.541666666667,2.42333673273625,"Beaverton, OR"
293,98285.0,Yuma,AZ,20,0.00020348985094368417,4914.25,2.0348985094368417,"Yuma, AZ"
294,98193.0,Lawrence,KS,10,0.0001018402533785504,9819.3,1.018402533785504,"Lawrence, KS"
295,97828.0,Orem,UT,7,7.15541562742773e-05,13975.42857142857,0.715541562742773,"Orem, UT"
296,97261.0,Longmont,CO,8,8.225290712618624e-05,12157.625,0.8225290712618624,"Longmont, CO"
297,96664.0,San Marcos,CA,4,4.138045187453447e-05,24166.0,0.41380451874534474,"San Marcos, CA"
298,96460.0,Albany,NY,15,0.00015550487248600455,6430.666666666667,1.5550487248600455,"Albany, NY"
299,96380.0,Sandy,UT,10,0.00010375596596804317,9638.0,1.0375596596804317,"Sandy, UT"
